Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MicroRNAs in cancer,0.3200059585699163,1.411694977537071,6.944444e-03,2.740601e-01,9.880000e-01,27/160,6.66%,MYC;GRB2;IRS2;KIF23;EGFR;MCL1;TP63;CDK6;CCND2;SOS1;DICER1;BCL2;CDKN2A;RHOA;E2F3;SOX4;PDGFRB;HDAC1;HNRNPK;HDAC5;PIM1;NOTCH1;PIK3R2;HDAC2;RPTOR;CYP1B1;ERBB3
prerank,Biosynthesis of unsaturated fatty acids,-0.43775073341305737,-1.406478546991828,7.264957e-02,2.477298e-01,9.920000e-01,5/27,2.82%,ACOX1;HSD17B4;ELOVL4;ACAA1;SCP2
prerank,Tight junction,-0.3054241182186194,-1.398090635254595,1.327434e-02,2.549465e-01,9.920000e-01,44/164,19.59%,CDK4;CCND1;CDC42;PPP2R1A;TUBA1B;HSPA4;PRKAG2;PRKAG1;CLDN5;ACTG1;TUBA1A;ARHGEF2;CD1A;MICALL2;PARD6B;STK11;PALS1;OCLN;PARD3;CTTN;PRKACA;WHAMM;MARVELD2;MYL2;RAPGEF2;CLDN19;JAM2;MYH14;CFTR;MAP3K1;MYL12A;PRKACB;LLGL1;EPB41L4B;CLDN10;MYL12B;ARPC5;CD1D;PRKACG;MSN;PPP2CB;RAPGEF6;TUBA8;ARPC3
prerank,GnRH signaling pathway,-0.348110753094783,-1.3968932506196972,2.953586e-02,2.492257e-01,9.920000e-01,6/92,2.94%,KRAS;CDC42;ATF4;CALM2;PRKCA;MAP2K4
prerank,Collecting duct acid secretion,-0.43277106080649214,-1.3925039951002276,8.225108e-02,2.498782e-01,9.920000e-01,7/27,8.05%,ATP6V1A;ATP6V1E1;ATP6V1G1;ATP6V1B2;TCIRG1;ATP6V1C1;ATP6V1B1
prerank,Autophagy,-0.3210300360765677,-1.3922752626014185,1.298701e-02,2.437775e-01,9.920000e-01,39/133,19.80%,KRAS;PTEN;CFLAR;AMBRA1;PIK3R4;TSC1;DDIT4;RPS6KB1;TSC2;ATG2A;ATG9A;CTSL;STK11;PIK3C3;EIF2AK4;PIK3R3;TANK;PRKACA;ATG13;BCL2L1;ATG4C;RRAGC;EIF2S1;RRAGB;ATG3;MAP2K2;PRKACB;ULK2;VAMP8;BNIP3;UVRAG;TBK1;SQSTM1;PRKACG;MAP3K7;PPP2CB;IRS4;ATG4A;TRAF6
prerank,Melanogenesis,-0.3358837281685673,-1.3875649771549166,3.720930e-02,2.455281e-01,9.920000e-01,21/101,18.84%,KRAS;CREBBP;CALM2;GNAI1;PRKCA;GSK3B;CREB3;PRKACA;WNT8A;FZD3;CAMK2D;PRKCB;TYRP1;MAP2K2;PRKACB;ADCY5;WNT2B;CALML6;ASIP;PRKACG;CTNNB1
prerank,Longevity regulating pathway,-0.3344442418992773,-1.3823152974395365,3.862661e-02,2.491254e-01,9.920000e-01,16/100,10.12%,KRAS;ATF4;FOXO3;SOD1;PRKAG2;PRKAG1;TSC1;RPS6KB1;TSC2;STK11;CREB3;PIK3R3;EIF4E1B;PRKACA;ATG13;FOXA2
prerank,GnRH secretion,-0.3636367472118608,-1.38214892191276,5.286344e-02,2.433637e-01,9.920000e-01,4/64,6.74%,KRAS;PRKCA;PIK3R3;KCNN2
prerank,TGF-beta signaling pathway,0.3467369737708962,1.381062277918957,3.584229e-02,3.242309e-01,9.960000e-01,27/92,17.85%,MYC;RBX1;RHOA;LEFTY1;GREM2;ACVR2B;LEFTY2;SMAD6;ID4;BAMBI;GDF7;TFDP1;BMP2;CDKN2B;GDF6;INHBC;SP1;NOG;MAPK3;SMAD2;BMP7;TGFBR2;E2F5;AMH;SMAD7;EP300;SMAD3
prerank,Viral carcinogenesis,-0.3016880722119853,-1.379336426140913,1.388889e-02,2.422360e-01,9.920000e-01,41/190,14.59%,KRAS;CDK4;CCND1;DDB1;CDC42;ATF4;CREBBP;GTF2B;SCIN;H2BC13;H2BC5;H2BC18;SRF;H2BC14;IL6ST;HDAC3;DDX3X;DNAJA3;CREB3;PIK3R3;RASA2;MDM2;HDAC4;PRKACA;H2BC21;H2BC11;GTF2A1L;H4C1;HDAC7;CCR5;H4C4;CDKN1A;VDAC3;H4C3;H2BC9;ATF2;STAT5A;BAX;PRKACB;PKM;CASP3
